cell,batch,stage,arm,theorem,seed,solved,qualified,failed,cost,input,cached,output,requests,resets,continued,uncached_cost
validation__agentic__imo_1960_p2__seed1,final02,validation,agentic,imo_1960_p2,1,True,True,False,0.01241824,70265,38882,4470,10,0,False,0.019417
validation__ace_reset__imo_1960_p2__seed1,final02,validation,ace_reset,imo_1960_p2,1,True,True,False,0.005116539999999999,45563,39567,2605,6,0,False,0.0122386
validation__ace_compact__imo_1960_p2__seed0,final02,validation,ace_compact,imo_1960_p2,0,True,True,False,0.014587119999999997,199880,178636,5638,24,0,False,0.046741599999999994
validation__agentic_compact__imo_1960_p2__seed0,final02,validation,agentic_compact,imo_1960_p2,0,True,True,False,0.015323339999999998,137685,108467,6092,19,0,False,0.0348474
validation__agentic_reset_compact__amc12a_2019_p21__seed0,final02,validation,agentic_reset_compact,amc12a_2019_p21,0,False,False,False,0.04736113999999999,484924,404427,19311,54,2,False,0.12015799999999999
validation__ace_reset_compact__amc12a_2019_p21__seed1,final02,validation,ace_reset_compact,amc12a_2019_p21,1,False,False,False,0.045863520000000005,460350,375656,17843,42,2,False,0.1134816
validation__ace_reset_compact__amc12a_2019_p21__seed0,final02,validation,ace_reset_compact,amc12a_2019_p21,0,False,False,False,0.039019539999999985,710651,663217,13557,64,2,False,0.15839859999999997
validation__agentic__amc12a_2019_p21__seed1,final02,validation,agentic,amc12a_2019_p21,1,False,False,False,0.04016756,380785,255728,8368,29,0,False,0.0861986
validation__agentic_reset__imo_1960_p2__seed0,final02,validation,agentic_reset,imo_1960_p2,0,True,True,False,0.022807240000000003,142115,80772,7436,15,1,False,0.037346199999999996
validation__agentic_reset_compact__imo_1960_p2__seed0,final02,validation,agentic_reset_compact,imo_1960_p2,0,False,False,False,0.04603557999999999,438686,359549,19181,49,1,False,0.1107544
validation__ace_compact__amc12a_2019_p21__seed0,final02,validation,ace_compact,amc12a_2019_p21,0,False,False,False,0.0362007,653349,587175,9352,42,0,False,0.1418922
validation__ace__imo_1960_p2__seed0,final02,validation,ace,imo_1960_p2,0,True,True,False,0.00426862,29933,20891,1702,4,0,False,0.008029
validation__ace_reset_compact__imo_1960_p2__seed1,final02,validation,ace_reset_compact,imo_1960_p2,1,True,True,False,0.01032814,101357,89387,5122,14,0,False,0.026417799999999998
validation__agentic_compact__amc12a_2019_p21__seed0,final02,validation,agentic_compact,amc12a_2019_p21,0,False,False,False,0.040172479999999997,402661,267934,6557,32,0,False,0.0884006
validation__agentic_reset__amc12a_2019_p21__seed0,final02,validation,agentic_reset,amc12a_2019_p21,0,False,False,False,0.04678852000000001,323204,185286,12916,28,2,False,0.08014
validation__ace__amc12a_2019_p21__seed0,final02,validation,ace,amc12a_2019_p21,0,False,False,False,0.03871086,362643,224903,5554,22,0,False,0.0791934
validation__ace_reset_compact__imo_1960_p2__seed0,final02,validation,ace_reset_compact,imo_1960_p2,0,True,True,False,0.00229014,22206,21117,1375,4,0,False,0.0060912
validation__ace_reset__amc12a_2019_p21__seed1,final02,validation,ace_reset,amc12a_2019_p21,1,False,False,False,0.042621160000000005,638546,537698,9748,41,2,False,0.1394068
validation__ace_reset__amc12a_2019_p21__seed0,final02,validation,ace_reset,amc12a_2019_p21,0,False,False,False,0.0449171,574270,463085,11182,42,2,False,0.1282724
validation__ace_compact__amc12a_2019_p21__seed1,final02,validation,ace_compact,amc12a_2019_p21,1,False,False,False,0.040820579999999995,362232,230779,8262,29,0,False,0.0823608
validation__agentic_reset__amc12a_2019_p21__seed1,final02,validation,agentic_reset,amc12a_2019_p21,1,False,False,False,0.03384434000000001,286918,176927,6923,22,1,False,0.0656912
validation__ace__amc12a_2019_p21__seed1,final02,validation,ace,amc12a_2019_p21,1,False,False,False,0.0395764,470078,356500,8109,29,0,False,0.10374639999999999
validation__ace_compact__imo_1960_p2__seed1,final02,validation,ace_compact,imo_1960_p2,1,True,True,False,0.01546358,83413,51199,6664,11,0,False,0.024679399999999997
validation__agentic__imo_1960_p2__seed0,final02,validation,agentic,imo_1960_p2,0,True,True,False,0.014919139999999997,105076,57107,3486,10,0,False,0.025198399999999996
validation__agentic_reset__imo_1960_p2__seed1,final02,validation,agentic_reset,imo_1960_p2,1,True,True,False,0.02064342,184545,132811,6367,18,1,False,0.044549399999999996
validation__ace__mathd_algebra_327__seed0,final03,validation,ace,mathd_algebra_327,0,True,True,False,0.00262898,35269,28229,547,4,0,False,0.0077101999999999995
validation__agentic_compact__imo_1984_p6__seed1,final03,validation,agentic_compact,imo_1984_p6,1,False,False,False,0.013123019999999999,86106,65881,6467,13,0,False,0.0249816
validation__agentic_compact__mathd_algebra_327__seed1,final03,validation,agentic_compact,mathd_algebra_327,1,True,True,False,0.00085494,8553,7387,395,3,0,False,0.0021845999999999996
validation__ace_reset__imo_1984_p6__seed0,final03,validation,ace_reset,imo_1984_p6,0,False,False,False,0.04428593999999999,297564,198567,17096,24,1,False,0.080028
validation__agentic_reset__mathd_algebra_327__seed0,final03,validation,agentic_reset,mathd_algebra_327,0,True,True,False,0.00208318,19547,12659,377,3,0,False,0.0043618
validation__agentic_reset__imo_1984_p6__seed0,final03,validation,agentic_reset,imo_1984_p6,0,False,False,False,0.013534059999999999,98345,68723,5196,10,0,False,0.0259042
validation__agentic__imo_1984_p6__seed1,final03,validation,agentic,imo_1984_p6,1,False,False,False,0.03204448,217064,122304,8872,18,0,False,0.0540592
validation__ace_compact__imo_1984_p6__seed0,final03,validation,ace_compact,imo_1984_p6,0,False,False,False,0.03490974000000001,410220,355037,13977,33,0,False,0.0988164
validation__agentic__imo_1984_p6__seed0,final03,validation,agentic,imo_1984_p6,0,False,False,False,0.009768719999999998,73866,59456,4748,11,0,False,0.020470799999999997
validation__ace_compact__imo_1984_p6__seed1,final03,validation,ace_compact,imo_1984_p6,1,False,False,False,0.020243600000000004,354631,336650,8262,33,0,False,0.0808406
validation__agentic_reset_compact__imo_1984_p6__seed1,final03,validation,agentic_reset_compact,imo_1984_p6,1,False,False,False,0.047200599999999995,327641,229680,19179,38,1,False,0.088543
validation__agentic_compact__mathd_algebra_327__seed0,final03,validation,agentic_compact,mathd_algebra_327,0,True,True,False,0.00062192,5986,4856,249,2,0,False,0.001496
validation__ace_reset_compact__imo_1984_p6__seed0,final03,validation,ace_reset_compact,imo_1984_p6,0,False,False,False,0.04072513999999999,231094,136827,15946,21,0,False,0.065354
validation__ace__mathd_algebra_327__seed1,final03,validation,ace,mathd_algebra_327,1,True,True,False,0.0028025,35425,28305,677,4,0,False,0.007897399999999999
validation__ace_compact__mathd_algebra_327__seed1,final03,validation,ace_compact,mathd_algebra_327,1,True,True,False,0.0009392999999999999,15528,14335,345,3,0,False,0.0035196
validation__ace_reset__mathd_algebra_327__seed0,final03,validation,ace_reset,mathd_algebra_327,0,True,True,False,0.00258072,25212,18336,699,3,0,False,0.0058812
validation__agentic_reset__mathd_algebra_327__seed1,final03,validation,agentic_reset,mathd_algebra_327,1,True,True,False,0.00080846,7888,6373,315,2,0,False,0.0019556
validation__ace_reset_compact__mathd_algebra_327__seed0,final03,validation,ace_reset_compact,mathd_algebra_327,0,True,True,False,0.0011257399999999999,15550,13157,320,3,0,False,0.0034939999999999997
validation__agentic_compact__imo_1984_p6__seed0,final03,validation,agentic_compact,imo_1984_p6,0,False,False,False,0.04341534,319296,232097,17778,32,0,False,0.08519279999999999
validation__agentic_reset_compact__mathd_algebra_327__seed0,final03,validation,agentic_reset_compact,mathd_algebra_327,0,True,True,False,0.00088002,8655,7421,404,3,0,False,0.0022158
validation__ace_reset__imo_1984_p6__seed1,final03,validation,ace_reset,imo_1984_p6,1,False,False,False,0.040816439999999996,299571,218312,16832,25,1,False,0.08011259999999999
validation__ace_reset_compact__mathd_algebra_327__seed1,final03,validation,ace_reset_compact,mathd_algebra_327,1,True,True,False,0.0009525,15630,14355,342,3,0,False,0.0035364
validation__agentic_reset_compact__mathd_algebra_327__seed1,final03,validation,agentic_reset_compact,mathd_algebra_327,1,True,True,False,0.0014161599999999999,13625,10058,418,4,0,False,0.0032266
validation__ace__imo_1984_p6__seed1,final03,validation,ace,imo_1984_p6,1,False,False,False,0.04009609999999999,329113,218445,11328,21,0,False,0.07941619999999999
validation__ace_reset__mathd_algebra_327__seed1,final03,validation,ace_reset,mathd_algebra_327,1,True,True,False,0.00073528,12380,12124,368,2,0,False,0.0029176
validation__agentic_reset_compact__imo_1984_p6__seed0,final03,validation,agentic_reset_compact,imo_1984_p6,0,False,False,False,0.019367739999999998,119435,82047,8541,17,0,False,0.0341362
validation__ace_reset_compact__imo_1984_p6__seed1,final03,validation,ace_reset_compact,imo_1984_p6,1,False,False,False,0.023946939999999996,169040,123097,10247,18,0,False,0.0461044
validation__ace_compact__mathd_algebra_327__seed0,final03,validation,ace_compact,mathd_algebra_327,0,True,True,False,0.00133578,21120,19399,503,4,0,False,0.0048276
validation__agentic__mathd_algebra_327__seed0,final03,validation,agentic,mathd_algebra_327,0,True,True,False,0.00094604,9541,7532,328,2,0,False,0.0023017999999999997
validation__agentic__mathd_algebra_327__seed1,final03,validation,agentic,mathd_algebra_327,1,True,True,False,0.00098504,9484,7532,370,2,0,False,0.0023408
validation__ace__imo_1984_p6__seed0,final03,validation,ace,imo_1984_p6,0,False,False,False,0.031719,309291,246160,11808,21,0,False,0.07602779999999999
validation__agentic_reset__imo_1984_p6__seed1,final03,validation,agentic_reset,imo_1984_p6,1,False,False,False,0.021617040000000004,179421,117942,5802,16,1,False,0.0428466
validation__agentic__mathd_algebra_234__seed0,final04,validation,agentic,mathd_algebra_234,0,True,True,False,0.0009007399999999999,3766,2607,514,1,0,False,0.00137
validation__agentic_reset_compact__mathd_algebra_234__seed0,final04,validation,agentic_reset_compact,mathd_algebra_234,0,True,True,False,0.0006083,2428,2425,466,1,0,False,0.0010447999999999998
validation__ace_reset_compact__mathd_algebra_234__seed1,final04,validation,ace_reset_compact,mathd_algebra_234,1,True,True,False,0.00054382,4724,4721,374,1,0,False,0.0013936
validation__ace_reset__mathd_numbertheory_37__seed0,final04,validation,ace_reset,mathd_numbertheory_37,0,False,False,False,0.02381522,179098,113831,7071,17,1,False,0.0443048
validation__ace_reset_compact__mathd_numbertheory_37__seed0,final04,validation,ace_reset_compact,mathd_numbertheory_37,0,False,False,False,0.017337259999999997,137842,91213,5156,17,0,False,0.0337556
validation__ace_compact__mathd_numbertheory_37__seed0,final04,validation,ace_compact,mathd_numbertheory_37,0,False,False,False,0.015369559999999999,139066,104938,5371,18,0,False,0.0342584
validation__ace_reset__mathd_algebra_234__seed0,final04,validation,ace_reset,mathd_algebra_234,0,True,True,False,0.0005824599999999999,6062,4873,206,1,0,False,0.0014596
validation__agentic_reset__mathd_algebra_234__seed0,final04,validation,agentic_reset,mathd_algebra_234,0,True,True,False,0.00035066000000000003,3766,3763,229,1,0,False,0.001028
validation__ace__mathd_algebra_234__seed0,final04,validation,ace,mathd_algebra_234,0,True,True,False,0.00080698,6062,6059,571,1,0,False,0.0018976
validation__ace_reset__mathd_numbertheory_37__seed1,final04,validation,ace_reset,mathd_numbertheory_37,1,False,False,False,0.03862635999999999,308273,224708,14516,27,2,False,0.0790738
validation__ace_compact__mathd_numbertheory_37__seed1,final04,validation,ace_compact,mathd_numbertheory_37,1,False,False,False,0.0247972,196007,129810,7468,19,0,False,0.048163
validation__ace_reset_compact__mathd_algebra_234__seed0,final04,validation,ace_reset_compact,mathd_algebra_234,0,True,True,False,0.0009744999999999999,4724,3535,555,1,0,False,0.0016108
validation__ace__mathd_numbertheory_37__seed0,final04,validation,ace,mathd_numbertheory_37,0,False,False,False,0.026379079999999996,308698,246614,7525,23,0,False,0.0707696
validation__agentic_reset__mathd_numbertheory_37__seed1,final04,validation,agentic_reset,mathd_numbertheory_37,1,False,False,False,0.025342399999999994,153025,92810,9536,19,1,False,0.0420482
validation__ace__mathd_numbertheory_37__seed1,final04,validation,ace,mathd_numbertheory_37,1,False,False,False,0.03276845999999999,353664,251233,6048,25,0,False,0.0779904
validation__ace_compact__mathd_algebra_234__seed0,final04,validation,ace_compact,mathd_algebra_234,0,True,True,False,0.0006456400000000001,9818,9442,318,2,0,False,0.0023452
validation__agentic_reset__mathd_algebra_234__seed1,final04,validation,agentic_reset,mathd_algebra_234,1,True,True,False,0.00061106,3766,3763,446,1,0,False,0.0012883999999999999
validation__agentic_reset_compact__mathd_algebra_234__seed1,final04,validation,agentic_reset_compact,mathd_algebra_234,1,True,True,False,0.0003239,2428,2425,229,1,0,False,0.0007604
validation__ace_reset_compact__mathd_numbertheory_37__seed1,final04,validation,ace_reset_compact,mathd_numbertheory_37,1,False,False,False,0.033645360000000006,267819,183198,10881,30,0,False,0.066621
validation__agentic__mathd_numbertheory_37__seed1,final04,validation,agentic,mathd_numbertheory_37,1,False,False,False,0.03977056,283391,161878,10192,25,0,False,0.0689086
validation__agentic_compact__mathd_numbertheory_37__seed0,final04,validation,agentic_compact,mathd_numbertheory_37,0,False,False,False,0.017552819999999997,113535,70081,6217,20,0,False,0.030167399999999997
validation__agentic_compact__mathd_algebra_234__seed0,final04,validation,agentic_compact,mathd_algebra_234,0,True,True,False,0.0007131799999999999,2428,1269,380,1,0,False,0.0009415999999999999
validation__ace_reset__mathd_algebra_234__seed1,final04,validation,ace_reset,mathd_algebra_234,1,True,True,False,0.00059458,6062,6059,394,1,0,False,0.0016852
validation__agentic_reset_compact__mathd_numbertheory_37__seed1,final04,validation,agentic_reset_compact,mathd_numbertheory_37,1,False,False,False,0.021991800000000002,117168,60910,7935,18,0,False,0.0329556
validation__ace__mathd_algebra_234__seed1,final04,validation,ace,mathd_algebra_234,1,True,True,False,0.00035098,6062,6059,191,1,0,False,0.0014416
validation__agentic__mathd_algebra_234__seed1,final04,validation,agentic,mathd_algebra_234,1,True,True,False,0.00043826,3766,3763,302,1,0,False,0.0011156
validation__agentic_compact__mathd_algebra_234__seed1,final04,validation,agentic_compact,mathd_algebra_234,1,True,True,False,0.0003371,2428,2425,240,1,0,False,0.0007735999999999999
validation__agentic_reset__mathd_numbertheory_37__seed0,final04,validation,agentic_reset,mathd_numbertheory_37,0,False,False,False,0.024290120000000002,184354,123726,8075,23,1,False,0.04656079999999999
validation__ace_compact__mathd_algebra_234__seed1,final04,validation,ace_compact,mathd_algebra_234,1,True,True,False,0.00078502,4724,4721,575,1,0,False,0.0016348
validation__agentic__mathd_numbertheory_37__seed0,final04,validation,agentic,mathd_numbertheory_37,0,False,False,False,0.020562519999999997,184673,141076,7518,23,0,False,0.045956199999999996
validation__agentic_reset_compact__mathd_numbertheory_37__seed0,final04,validation,agentic_reset_compact,mathd_numbertheory_37,0,False,False,False,0.022420919999999997,126597,69836,8060,20,0,False,0.0349914
validation__agentic_compact__mathd_numbertheory_37__seed1,final04,validation,agentic_compact,mathd_numbertheory_37,1,False,False,False,0.02098162,143348,78931,5433,20,0,False,0.0351892
validation__ace_reset_compact__mathd_numbertheory_43__seed0,final05,validation,ace_reset_compact,mathd_numbertheory_43,0,False,False,False,0.02207592,357486,332576,8702,34,0,False,0.0819396
validation__agentic_reset_compact__induction_prod1p1onk3le3m1onn__seed1,final05,validation,agentic_reset_compact,induction_prod1p1onk3le3m1onn,1,False,False,False,0.052260919999999995,362989,245696,19907,43,2,False,0.0964862
