cell,stage,role,arm,theorem,seed,strategy_returned_value,solved,qualified,failed,cost,input,cached,output,reasoning,uncached_cost,requests,drops
validation__ace_coverage__proof__mathd_algebra_190__seed1,validation,proof,ace_coverage,mathd_algebra_190,1,True,True,True,False,0.00041308,6047,6044,243,226,0.001501,1,0
validation__ace_coverage__proof__mathd_algebra_393__seed1,validation,proof,ace_coverage,mathd_algebra_393,1,True,True,True,False,0.006339999999999998,44759,34210,2955,2018,0.0124978,6,0
validation__ace_coverage__proof__aime_1989_p8__seed1,validation,proof,ace_coverage,aime_1989_p8,1,True,True,True,False,0.00027322,6674,6671,116,83,0.0014739999999999998,1,0
validation__ace_coverage__proof__mathd_numbertheory_284__seed0,validation,proof,ace_coverage,mathd_numbertheory_284,0,True,True,True,False,0.00027696000000000003,6081,6078,129,94,0.001371,1,0
validation__ace_coverage__proof__mathd_algebra_421__seed0,validation,proof,ace_coverage,mathd_algebra_421,0,True,True,True,False,0.00308286,25350,20393,1403,1034,0.0067536,3,0
validation__ace_coverage__proof__amc12a_2008_p4__seed1,validation,proof,ace_coverage,amc12a_2008_p4,1,True,True,True,False,0.01594212,107730,65306,5126,3270,0.027697199999999998,12,0
validation__ace_coverage__proof__mathd_algebra_190__seed0,validation,proof,ace_coverage,mathd_algebra_190,0,True,True,True,False,0.00025828,6047,6044,114,97,0.0013462,1,0
validation__ace_coverage__proof__amc12_2001_p21__seed1,validation,proof,ace_coverage,amc12_2001_p21,1,True,True,True,False,0.00667364,50362,44882,3900,3405,0.014752399999999999,6,0
validation__ace_coverage__proof__amc12a_2002_p6__seed1,validation,proof,ace_coverage,amc12a_2002_p6,1,True,True,True,False,0.00052586,6106,6103,336,296,0.0016244,1,0
validation__ace_coverage__proof__imo_1960_p2__seed0,validation,proof,ace_coverage,imo_1960_p2,0,True,True,True,False,0.0231292,171902,116980,8171,4755,0.0441856,13,0
validation__ace_coverage__proof__amc12a_2020_p21__seed0,validation,proof,ace_coverage,amc12a_2020_p21,0,False,False,False,False,0.06563924,453142,259762,18140,15556,0.1123964,25,0
validation__ace_coverage__proof__mathd_algebra_421__seed1,validation,proof,ace_coverage,mathd_algebra_421,1,True,True,True,False,0.00130672,19913,19346,672,310,0.004789,3,0
validation__ace_coverage__proof__induction_prod1p1onk3le3m1onn__seed1,validation,proof,ace_coverage,induction_prod1p1onk3le3m1onn,1,True,True,True,False,0.05574828,368886,195114,14243,5736,0.0908688,20,0
validation__ace_coverage__proof__amc12b_2003_p6__seed1,validation,proof,ace_coverage,amc12b_2003_p6,1,True,True,True,False,0.0172917,103851,68585,7389,3964,0.029637,11,0
validation__ace_coverage__proof__mathd_numbertheory_33__seed1,validation,proof,ace_coverage,mathd_numbertheory_33,1,True,True,True,False,0.00078552,12378,12056,400,284,0.0029556,2,0
validation__ace_coverage__proof__amc12_2001_p21__seed0,validation,proof,ace_coverage,amc12_2001_p21,0,True,True,True,False,0.01183782,118707,103691,5634,4176,0.0305022,13,0
validation__ace_coverage__proof__amc12a_2002_p6__seed0,validation,proof,ace_coverage,amc12a_2002_p6,0,True,True,True,False,0.00171952,14684,10976,632,552,0.0036952,2,0
validation__ace_coverage__proof__mathd_numbertheory_64__seed1,validation,proof,ace_coverage,mathd_numbertheory_64,1,True,True,True,False,0.004853059999999999,36394,30963,2623,2118,0.010426399999999999,5,0
validation__ace_coverage__proof__amc12a_2019_p21__seed0,validation,proof,ace_coverage,amc12a_2019_p21,0,False,False,False,False,0.06444596,680497,478068,11999,8232,0.1504982,30,0
validation__ace_coverage__proof__mathd_algebra_327__seed1,validation,proof,ace_coverage,mathd_algebra_327,1,True,True,True,False,0.0013672399999999998,22348,20122,433,263,0.0049892,3,0
validation__ace_coverage__proof__amc12_2000_p12__seed0,validation,proof,ace_coverage,amc12_2000_p12,0,True,True,True,False,0.014467,52733,34600,8457,7013,0.020694999999999998,6,0
validation__ace_coverage__proof__mathd_numbertheory_530__seed0,validation,proof,ace_coverage,mathd_numbertheory_530,0,False,False,False,False,0.06406116,545148,350198,15056,6240,0.12709679999999998,27,0
validation__ace_coverage__proof__mathd_numbertheory_530__seed1,validation,proof,ace_coverage,mathd_numbertheory_530,1,False,False,False,False,0.06778764000000001,550689,351152,17381,7175,0.130995,32,0
validation__ace_coverage__proof__mathd_algebra_282__seed0,validation,proof,ace_coverage,mathd_algebra_282,0,False,False,False,False,0.04725682,1534295,1488441,6931,4778,0.31517619999999996,55,0
validation__ace_coverage__proof__mathd_numbertheory_43__seed1,validation,proof,ace_coverage,mathd_numbertheory_43,1,False,False,False,False,0.0132764,212722,198720,5418,3842,0.049046,18,0
validation__ace_coverage__proof__mathd_numbertheory_303__seed1,validation,proof,ace_coverage,mathd_numbertheory_303,1,False,False,False,False,0.05998314,354264,199047,20799,7964,0.0958116,22,0
validation__ace_coverage__proof__amc12b_2020_p5__seed1,validation,proof,ace_coverage,amc12b_2020_p5,1,True,True,True,False,0.00034754,6310,6307,184,126,0.0014827999999999998,1,0
validation__ace_coverage__proof__aime_1984_p7__seed1,validation,proof,ace_coverage,aime_1984_p7,1,False,False,False,False,0.06307002,314109,167001,25257,14429,0.0931302,20,0
validation__ace_coverage__proof__mathd_numbertheory_303__seed0,validation,proof,ace_coverage,mathd_numbertheory_303,0,False,False,False,False,0.06420365999999998,473661,336223,24993,16454,0.1247238,30,0
validation__ace_coverage__proof__mathd_numbertheory_43__seed0,validation,proof,ace_coverage,mathd_numbertheory_43,0,False,False,False,False,0.03674821999999999,381076,327581,16248,8015,0.0957128,28,0
validation__ace_coverage__proof__aime_1991_p9__seed1,validation,proof,ace_coverage,aime_1991_p9,1,True,True,True,False,0.04675828,327239,196184,13853,7710,0.08207139999999999,24,0
validation__ace_coverage__proof__mathd_algebra_234__seed1,validation,proof,ace_coverage,mathd_algebra_234,1,True,True,True,False,0.00047818,6062,6059,297,232,0.0015688,1,0
validation__ace_coverage__proof__imo_1969_p2__seed0,validation,proof,ace_coverage,imo_1969_p2,0,False,False,False,False,0.047734400000000024,1371973,1318270,8857,6026,0.28502299999999997,59,0
validation__ace_coverage__proof__mathd_algebra_282__seed1,validation,proof,ace_coverage,mathd_algebra_282,1,False,False,False,False,0.049135180000000014,1357937,1298059,9332,6665,0.2827858,64,0
validation__ace_coverage__proof__algebra_others_exirrpowirrrat__seed1,validation,proof,ace_coverage,algebra_others_exirrpowirrrat,1,False,False,False,False,0.06494902,613280,446941,18952,11607,0.14539839999999998,35,0
validation__ace_coverage__proof__mathd_numbertheory_284__seed1,validation,proof,ace_coverage,mathd_numbertheory_284,1,True,True,True,False,0.00046175999999999997,6081,6078,283,251,0.0015558,1,0
validation__ace_coverage__proof__mathd_numbertheory_461__seed1,validation,proof,ace_coverage,mathd_numbertheory_461,1,True,True,True,False,0.00130436,12661,10968,622,478,0.0032786,2,0
validation__ace_coverage__proof__mathd_algebra_214__seed0,validation,proof,ace_coverage,mathd_algebra_214,0,True,True,True,False,0.00047799999999999996,6173,6170,295,224,0.0015886,1,0
validation__ace_coverage__proof__amc12a_2019_p21__seed1,validation,proof,ace_coverage,amc12a_2019_p21,1,False,False,False,False,0.06565394000000002,790339,592577,11875,7246,0.1723178,41,0
validation__ace_coverage__proof__aime_1989_p8__seed0,validation,proof,ace_coverage,aime_1989_p8,0,True,True,True,False,0.00028282,6674,6671,124,91,0.0014835999999999998,1,0
validation__ace_coverage__proof__mathd_algebra_251__seed0,validation,proof,ace_coverage,mathd_algebra_251,0,True,True,True,False,0.00107256,12348,12128,655,502,0.0032556,2,0
validation__ace_coverage__proof__mathd_algebra_433__seed1,validation,proof,ace_coverage,mathd_algebra_433,1,True,True,True,False,0.00321446,35698,28013,931,500,0.0082568,5,0
validation__ace_coverage__proof__amc12b_2002_p3__seed1,validation,proof,ace_coverage,amc12b_2002_p3,1,True,True,True,False,0.0048914200000000005,50024,39761,1703,992,0.012048399999999999,6,0
validation__ace_coverage__proof__amc12b_2002_p3__seed0,validation,proof,ace_coverage,amc12b_2002_p3,0,True,True,True,False,0.00362752,28766,22136,1549,962,0.007611999999999999,4,0
validation__ace_coverage__proof__mathd_numbertheory_33__seed0,validation,proof,ace_coverage,mathd_numbertheory_33,0,True,True,True,False,0.00080592,12348,12056,422,279,0.002976,2,0
validation__ace_coverage__proof__induction_prod1p1onk3le3m1onn__seed0,validation,proof,ace_coverage,induction_prod1p1onk3le3m1onn,0,True,True,True,False,0.04637938,348899,209289,11893,5352,0.0840514,22,0
validation__ace_coverage__proof__mathd_numbertheory_405__seed0,validation,proof,ace_coverage,mathd_numbertheory_405,0,False,False,False,False,0.06096772,237500,83646,23770,11084,0.076024,15,0
validation__ace_coverage__proof__mathd_algebra_214__seed1,validation,proof,ace_coverage,mathd_algebra_214,1,True,True,True,False,0.0012920599999999998,12739,11043,610,455,0.0032798,2,0
validation__ace_coverage__proof__amc12a_2013_p8__seed0,validation,proof,ace_coverage,amc12a_2013_p8,0,True,True,True,False,0.004420779999999999,49562,43449,1941,1377,0.0122416,7,0
validation__ace_coverage__proof__aime_1984_p7__seed0,validation,proof,ace_coverage,aime_1984_p7,0,True,True,True,False,0.025701019999999998,98803,55731,13310,8624,0.0357326,9,0
validation__ace_coverage__proof__amc12b_2020_p5__seed0,validation,proof,ace_coverage,amc12b_2020_p5,0,True,True,True,False,0.00028394,6310,6307,131,68,0.0014191999999999998,1,0
validation__ace_coverage__proof__mathd_numbertheory_405__seed1,validation,proof,ace_coverage,mathd_numbertheory_405,1,True,True,True,False,0.06038712000000001,268188,95136,19895,4830,0.0775116,14,0
validation__ace_coverage__proof__imo_1960_p2__seed1,validation,proof,ace_coverage,imo_1960_p2,1,True,True,True,False,0.0205152,161007,119270,8152,5245,0.0419838,16,0
validation__ace_coverage__proof__imo_1981_p6__seed1,validation,proof,ace_coverage,imo_1981_p6,1,True,True,True,False,0.00919678,88898,73529,3877,2073,0.022432,9,0
validation__ace_coverage__proof__amc12a_2008_p4__seed0,validation,proof,ace_coverage,amc12a_2008_p4,0,True,True,True,False,0.030652480000000003,191345,117954,11346,8621,0.0518842,18,0
validation__ace_coverage__proof__mathd_numbertheory_64__seed0,validation,proof,ace_coverage,mathd_numbertheory_64,0,True,True,True,False,0.00855358,101498,86289,3155,2173,0.0240856,11,0
learning__adapt__curator__amc12b_2004_p3__seed0,learning,curator,adapt,amc12b_2004_p3,0,True,,,False,0.01146446,68698,16453,572,331,0.014426,4,0
learning__adapt__curator__induction_pord1p1on2powklt5on2__seed0,learning,curator,adapt,induction_pord1p1on2powklt5on2,0,True,,,False,0.01090422,62829,15011,867,450,0.013606199999999999,4,0
learning__adapt__curator__aime_1984_p1__seed0,learning,curator,adapt,aime_1984_p1,0,True,,,False,0.049722199999999994,242857,0,959,510,0.049722199999999994,4,0
learning__adapt__reducer__batch00__seed0,learning,reducer,adapt,batch00,0,True,,,False,0.02119932,120501,28736,1893,1231,0.0263718,4,0
learning__adapt__reflector__amc12b_2004_p3__seed0,learning,reflector,adapt,amc12b_2004_p3,0,True,,,False,0.01080188,63595,14404,563,334,0.0133946,3,0
learning__adapt__reflector__induction_pord1p1on2powklt5on2__seed0,learning,reflector,adapt,induction_pord1p1on2powklt5on2,0,True,,,False,0.0110593,63740,14575,779,361,0.0136828,4,0
learning__adapt__reflector__aime_1984_p1__seed0,learning,reflector,adapt,aime_1984_p1,0,True,,,False,0.020046019999999998,121306,28771,803,559,0.0252248,4,0
learning__adapt__reflector__mathd_numbertheory_403__seed0,learning,reflector,adapt,mathd_numbertheory_403,0,True,,,False,0.0027216000000000002,12990,0,103,53,0.0027216000000000002,1,0
learning__adapt__curator__mathd_algebra_43__seed0,learning,curator,adapt,mathd_algebra_43,0,True,,,False,0.006284,28996,0,404,109,0.006284,2,0
learning__adapt__curator__imo_1968_p5_1__seed0,learning,curator,adapt,imo_1968_p5_1,0,True,,,False,0.015352000000000001,68084,0,1446,829,0.015352,4,0
learning__adapt__curator__amc12a_2020_p13__seed0,learning,curator,adapt,amc12a_2020_p13,0,True,,,False,0.007047059999999999,46527,14873,349,90,0.009724199999999999,3,0
learning__adapt__reducer__batch01__seed0,learning,reducer,adapt,batch01,0,True,,,False,0.010575020000000001,55939,16531,1969,1232,0.0135506,5,0
learning__adapt__reflector__mathd_algebra_43__seed0,learning,reflector,adapt,mathd_algebra_43,0,True,,,False,0.006386419999999999,40195,13041,579,324,0.0087338,3,0
learning__adapt__reflector__imo_1968_p5_1__seed0,learning,reflector,adapt,imo_1968_p5_1,0,True,,,False,0.009198959999999999,68352,31248,961,660,0.0148236,4,0
learning__adapt__reflector__amc12a_2020_p13__seed0,learning,reflector,adapt,amc12a_2020_p13,0,True,,,False,0.0076564599999999995,48302,14613,522,238,0.010286799999999999,3,0
learning__adapt__reflector__mathd_numbertheory_326__seed0,learning,reflector,adapt,mathd_numbertheory_326,0,True,,,False,0.0027362,12979,0,117,57,0.0027362,1,0
learning__adapt__curator__mathd_numbertheory_301__seed0,learning,curator,adapt,mathd_numbertheory_301,0,True,,,False,0.01000208,59059,14154,615,298,0.0125498,4,0
learning__adapt__curator__mathd_numbertheory_48__seed0,learning,curator,adapt,mathd_numbertheory_48,0,True,,,False,0.00717402,44640,14991,787,453,0.0098724,3,0
learning__adapt__curator__amc12a_2003_p1__seed0,learning,curator,adapt,amc12a_2003_p1,0,True,,,False,0.01138804,60920,14462,1506,932,0.013991199999999999,4,0
learning__adapt__reducer__batch02__seed0,learning,reducer,adapt,batch02,0,True,,,False,0.0050912200000000005,25625,5401,782,288,0.0060634,3,0
learning__adapt__reflector__mathd_numbertheory_458__seed0,learning,reflector,adapt,mathd_numbertheory_458,0,True,,,False,0.0027785999999999996,13113,0,130,72,0.0027785999999999996,1,0
learning__adapt__reflector__mathd_numbertheory_301__seed0,learning,reflector,adapt,mathd_numbertheory_301,0,True,,,False,0.00621672,40278,13056,426,180,0.0085668,3,0
learning__adapt__reflector__mathd_numbertheory_48__seed0,learning,reflector,adapt,mathd_numbertheory_48,0,True,,,False,0.00694988,42463,13504,740,438,0.0093806,3,0
learning__adapt__reflector__amc12a_2003_p1__seed0,learning,reflector,adapt,amc12a_2003_p1,0,True,,,False,0.0077899599999999986,42575,13388,1404,1099,0.010199799999999998,3,0
learning__adapt__curator__mathd_algebra_185__seed0,learning,curator,adapt,mathd_algebra_185,0,True,,,False,0.0065308,30566,0,348,130,0.0065308,2,0
learning__adapt__curator__amc12b_2003_p17__seed0,learning,curator,adapt,amc12b_2003_p17,0,True,,,False,0.0101352,46470,0,701,176,0.0101352,3,0
learning__adapt__curator__imo_1963_p5__seed0,learning,curator,adapt,imo_1963_p5,0,True,,,False,0.006363199999999999,29398,0,403,113,0.006363199999999999,2,0
learning__adapt__reducer__batch03__seed0,learning,reducer,adapt,batch03,0,True,,,False,0.012868359999999999,61268,6738,1523,819,0.014081199999999999,5,0
learning__adapt__reflector__mathd_algebra_185__seed0,learning,reflector,adapt,mathd_algebra_185,0,True,,,False,0.00719114,45484,13947,504,278,0.0097016,3,0
learning__adapt__reflector__amc12b_2003_p17__seed0,learning,reflector,adapt,amc12b_2003_p17,0,True,,,False,0.00719244,44544,14202,700,292,0.0097488,3,0
learning__adapt__reflector__imo_1963_p5__seed0,learning,reflector,adapt,imo_1963_p5,0,True,,,False,0.0070304,45001,14170,484,187,0.009581,3,0
learning__adapt__reflector__mathd_algebra_410__seed0,learning,reflector,adapt,mathd_algebra_410,0,True,,,False,0.00281,13042,0,168,114,0.00281,1,0
learning__adapt__curator__imo_1967_p3__seed0,learning,curator,adapt,imo_1967_p3,0,True,,,False,0.00467626,46265,30353,739,371,0.0101398,3,0
learning__adapt__curator__amc12a_2016_p2__seed0,learning,curator,adapt,amc12a_2016_p2,0,True,,,False,0.007363919999999999,44829,14986,913,548,0.010061399999999998,3,0
learning__adapt__curator__mathd_numbertheory_629__seed0,learning,curator,adapt,mathd_numbertheory_629,0,True,,,False,0.0103611,59979,15135,908,414,0.013085399999999999,4,0
learning__adapt__reducer__batch04__seed0,learning,reducer,adapt,batch04,0,True,,,False,0.00245922,13029,5721,736,316,0.0034889999999999995,2,0
learning__adapt__reflector__imo_1967_p3__seed0,learning,reflector,adapt,imo_1967_p3,0,True,,,False,0.0078058,44885,13720,1082,857,0.0102754,3,0
learning__adapt__reflector__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,learning,reflector,adapt,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,,,False,0.0041179599999999995,29423,13968,623,500,0.0066321999999999996,2,0
learning__adapt__reflector__amc12a_2016_p2__seed0,learning,reflector,adapt,amc12a_2016_p2,0,True,,,False,0.00639792,41484,13336,418,149,0.0087984,3,0
learning__adapt__reflector__mathd_numbertheory_629__seed0,learning,reflector,adapt,mathd_numbertheory_629,0,True,,,False,0.0071876200000000005,44816,14051,628,353,0.0097168,3,0
learning__adapt__curator__amc12a_2017_p7__seed0,learning,curator,adapt,amc12a_2017_p7,0,True,,,False,0.01002762,59517,14901,672,167,0.0127098,4,0
learning__adapt__curator__imo_1977_p6__seed0,learning,curator,adapt,imo_1977_p6,0,True,,,False,0.0068541999999999995,29633,0,773,477,0.0068541999999999995,2,0
learning__adapt__curator__mathd_algebra_224__seed0,learning,curator,adapt,mathd_algebra_224,0,True,,,False,0.006912199999999999,31165,0,566,248,0.006912199999999999,2,0
learning__adapt__reducer__batch05__seed0,learning,reducer,adapt,batch05,0,True,,,False,0.00988618,54212,16019,1606,856,0.012769599999999999,5,0
learning__adapt__reflector__mathd_algebra_37__seed0,learning,reflector,adapt,mathd_algebra_37,0,True,,,False,0.0031382,26152,12990,205,82,0.005476399999999999,2,0
learning__adapt__reflector__amc12a_2017_p7__seed0,learning,reflector,adapt,amc12a_2017_p7,0,True,,,False,0.00704724,44286,13762,556,273,0.009524399999999999,3,0
learning__adapt__reflector__imo_1977_p6__seed0,learning,reflector,adapt,imo_1977_p6,0,True,,,False,0.007367039999999999,59115,28482,559,349,0.0124938,4,0
learning__adapt__reflector__mathd_algebra_224__seed0,learning,reflector,adapt,mathd_algebra_224,0,True,,,False,0.00877436,48715,14868,1423,1026,0.0114506,3,0
learning__adapt__curator__amc12_2000_p6__seed0,learning,curator,adapt,amc12_2000_p6,0,True,,,False,0.0071388400000000005,44546,14342,676,360,0.0097204,3,0
learning__adapt__curator__aime_1988_p3__seed0,learning,curator,adapt,aime_1988_p3,0,True,,,False,0.00733714,46151,14637,618,302,0.0099718,3,0
learning__adapt__curator__amc12a_2002_p13__seed0,learning,curator,adapt,amc12a_2002_p13,0,True,,,False,0.0069078,31131,0,568,337,0.0069078,2,0
learning__adapt__curator__amc12_2000_p1__seed0,learning,curator,adapt,amc12_2000_p1,0,True,,,False,0.00819792,50187,17106,1033,474,0.011276999999999999,3,0
learning__adapt__reducer__batch06__seed0,learning,reducer,adapt,batch06,0,True,,,False,0.010561719999999998,51458,9866,1705,819,0.012337599999999999,4,0
learning__adapt__reflector__amc12_2000_p6__seed0,learning,reflector,adapt,amc12_2000_p6,0,True,,,False,0.00695756,44029,13708,516,250,0.009425,3,0
learning__adapt__reflector__aime_1988_p3__seed0,learning,reflector,adapt,aime_1988_p3,0,True,,,False,0.00870614,53401,15047,612,273,0.0114146,3,0
learning__adapt__reflector__amc12a_2002_p13__seed0,learning,reflector,adapt,amc12a_2002_p13,0,True,,,False,0.00797622,62853,29871,652,377,0.013353,4,0
learning__adapt__reflector__amc12_2000_p1__seed0,learning,reflector,adapt,amc12_2000_p1,0,True,,,False,0.00746486,35605,7023,1340,755,0.008728999999999999,4,0
learning__adapt__curator__aime_1988_p8__seed0,learning,curator,adapt,aime_1988_p8,0,True,,,False,0.0063548,29746,0,338,107,0.0063548,2,0
learning__adapt__curator__mathd_algebra_323__seed0,learning,curator,adapt,mathd_algebra_323,0,True,,,False,0.0065233999999999995,30571,0,341,110,0.0065233999999999995,2,0
learning__adapt__curator__amc12a_2013_p7__seed0,learning,curator,adapt,amc12a_2013_p7,0,True,,,False,0.0063602,29455,0,391,116,0.0063602,2,0
learning__adapt__reducer__batch07__seed0,learning,reducer,adapt,batch07,0,True,,,False,0.00873644,41305,6012,1298,723,0.0098186,4,0
learning__adapt__reflector__aime_1988_p8__seed0,learning,reflector,adapt,aime_1988_p8,0,True,,,False,0.007689860000000001,61168,28943,555,307,0.0128996,4,0
learning__adapt__reflector__mathd_algebra_323__seed0,learning,reflector,adapt,mathd_algebra_323,0,True,,,False,0.00743714,44551,13737,833,563,0.0099098,3,0
learning__adapt__reflector__mathd_numbertheory_42__seed0,learning,reflector,adapt,mathd_numbertheory_42,0,True,,,False,0.0027912,13212,0,124,68,0.0027912,1,0
learning__adapt__reflector__amc12a_2013_p7__seed0,learning,reflector,adapt,amc12a_2013_p7,0,True,,,False,0.006580839999999999,41132,13242,615,336,0.008964399999999999,3,0
learning__adapt__curator__mathd_numbertheory_35__seed0,learning,curator,adapt,mathd_numbertheory_35,0,True,,,False,0.0062223999999999995,29222,0,315,123,0.0062223999999999995,2,0
learning__adapt__curator__imo_1983_p6__seed0,learning,curator,adapt,imo_1983_p6,0,True,,,False,0.0067843999999999995,31558,0,394,128,0.0067843999999999995,2,0
learning__adapt__curator__mathd_algebra_206__seed0,learning,curator,adapt,mathd_algebra_206,0,True,,,False,0.0069730799999999996,44826,15114,607,213,0.0096936,3,0
learning__adapt__reducer__batch08__seed0,learning,reducer,adapt,batch08,0,True,,,False,0.00879392,41674,5816,1255,638,0.0098408,4,0
learning__adapt__reflector__mathd_numbertheory_221__seed0,learning,reflector,adapt,mathd_numbertheory_221,0,True,,,False,0.002755,13043,0,122,65,0.002755,1,0
learning__adapt__reflector__mathd_numbertheory_35__seed0,learning,reflector,adapt,mathd_numbertheory_35,0,True,,,False,0.0059846199999999995,39989,13031,277,99,0.0083302,3,0
learning__adapt__reflector__imo_1983_p6__seed0,learning,reflector,adapt,imo_1983_p6,0,True,,,False,0.00869692,64349,30116,1040,709,0.0141178,4,0
learning__adapt__reflector__mathd_algebra_206__seed0,learning,reflector,adapt,mathd_algebra_206,0,True,,,False,0.00644958,41250,13309,496,212,0.0088452,3,0
learning__adapt__curator__amc12b_2002_p11__seed0,learning,curator,adapt,amc12b_2002_p11,0,True,,,False,0.01007196,59913,15008,659,290,0.012773399999999999,4,0
learning__adapt__curator__aime_1990_p4__seed0,learning,curator,adapt,aime_1990_p4,0,True,,,False,0.014751400000000001,65609,0,1358,239,0.0147514,4,0
learning__adapt__curator__mathd_algebra_28__seed0,learning,curator,adapt,mathd_algebra_28,0,True,,,False,0.0065601999999999995,29921,0,480,249,0.0065601999999999995,2,0
learning__adapt__curator__mathd_algebra_247__seed0,learning,curator,adapt,mathd_algebra_247,0,True,,,False,0.0093282,44445,0,366,76,0.0093282,3,0
learning__adapt__reducer__batch09__seed0,learning,reducer,adapt,batch09,0,True,,,False,0.0130225,60479,7025,1826,923,0.014287,5,0
learning__adapt__reflector__amc12b_2002_p11__seed0,learning,reflector,adapt,amc12b_2002_p11,0,True,,,False,0.00800302,46523,14491,1089,860,0.0106114,3,0
learning__adapt__reflector__aime_1990_p4__seed0,learning,reflector,adapt,aime_1990_p4,0,True,,,False,0.00800052,46767,14596,1062,550,0.0106278,3,0
