cell,stage,role,arm,theorem,seed,strategy_returned_value,solved,qualified,failed,cost,input,cached,output,reasoning,uncached_cost,requests,drops
learning__adapt__reflector__mathd_numbertheory_326__seed0,learning,reflector,adapt,mathd_numbertheory_326,0,True,,,False,0.0027362,12979,0,117,57,0.0027362,1,0
learning__adapt__curator__mathd_numbertheory_301__seed0,learning,curator,adapt,mathd_numbertheory_301,0,True,,,False,0.01000208,59059,14154,615,298,0.0125498,4,0
learning__adapt__curator__mathd_numbertheory_48__seed0,learning,curator,adapt,mathd_numbertheory_48,0,True,,,False,0.00717402,44640,14991,787,453,0.0098724,3,0
learning__adapt__curator__amc12a_2003_p1__seed0,learning,curator,adapt,amc12a_2003_p1,0,True,,,False,0.01138804,60920,14462,1506,932,0.013991199999999999,4,0
learning__adapt__reducer__batch02__seed0,learning,reducer,adapt,batch02,0,True,,,False,0.0050912200000000005,25625,5401,782,288,0.0060634,3,0
learning__adapt__reflector__mathd_numbertheory_458__seed0,learning,reflector,adapt,mathd_numbertheory_458,0,True,,,False,0.0027785999999999996,13113,0,130,72,0.0027785999999999996,1,0
learning__adapt__reflector__mathd_numbertheory_301__seed0,learning,reflector,adapt,mathd_numbertheory_301,0,True,,,False,0.00621672,40278,13056,426,180,0.0085668,3,0
learning__adapt__reflector__mathd_numbertheory_48__seed0,learning,reflector,adapt,mathd_numbertheory_48,0,True,,,False,0.00694988,42463,13504,740,438,0.0093806,3,0
learning__adapt__reflector__amc12a_2003_p1__seed0,learning,reflector,adapt,amc12a_2003_p1,0,True,,,False,0.0077899599999999986,42575,13388,1404,1099,0.010199799999999998,3,0
learning__adapt__curator__mathd_algebra_185__seed0,learning,curator,adapt,mathd_algebra_185,0,True,,,False,0.0065308,30566,0,348,130,0.0065308,2,0
learning__adapt__curator__amc12b_2003_p17__seed0,learning,curator,adapt,amc12b_2003_p17,0,True,,,False,0.0101352,46470,0,701,176,0.0101352,3,0
learning__adapt__curator__imo_1963_p5__seed0,learning,curator,adapt,imo_1963_p5,0,True,,,False,0.006363199999999999,29398,0,403,113,0.006363199999999999,2,0
learning__adapt__reducer__batch03__seed0,learning,reducer,adapt,batch03,0,True,,,False,0.012868359999999999,61268,6738,1523,819,0.014081199999999999,5,0
learning__adapt__reflector__mathd_algebra_185__seed0,learning,reflector,adapt,mathd_algebra_185,0,True,,,False,0.00719114,45484,13947,504,278,0.0097016,3,0
learning__adapt__reflector__amc12b_2003_p17__seed0,learning,reflector,adapt,amc12b_2003_p17,0,True,,,False,0.00719244,44544,14202,700,292,0.0097488,3,0
learning__adapt__reflector__imo_1963_p5__seed0,learning,reflector,adapt,imo_1963_p5,0,True,,,False,0.0070304,45001,14170,484,187,0.009581,3,0
learning__adapt__reflector__mathd_algebra_410__seed0,learning,reflector,adapt,mathd_algebra_410,0,True,,,False,0.00281,13042,0,168,114,0.00281,1,0
learning__adapt__curator__imo_1967_p3__seed0,learning,curator,adapt,imo_1967_p3,0,True,,,False,0.00467626,46265,30353,739,371,0.0101398,3,0
learning__adapt__curator__amc12a_2016_p2__seed0,learning,curator,adapt,amc12a_2016_p2,0,True,,,False,0.007363919999999999,44829,14986,913,548,0.010061399999999998,3,0
learning__adapt__curator__mathd_numbertheory_629__seed0,learning,curator,adapt,mathd_numbertheory_629,0,True,,,False,0.0103611,59979,15135,908,414,0.013085399999999999,4,0
learning__adapt__reducer__batch04__seed0,learning,reducer,adapt,batch04,0,True,,,False,0.00245922,13029,5721,736,316,0.0034889999999999995,2,0
learning__adapt__reflector__imo_1967_p3__seed0,learning,reflector,adapt,imo_1967_p3,0,True,,,False,0.0078058,44885,13720,1082,857,0.0102754,3,0
learning__adapt__reflector__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,learning,reflector,adapt,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,,,False,0.0041179599999999995,29423,13968,623,500,0.0066321999999999996,2,0
learning__adapt__reflector__amc12a_2016_p2__seed0,learning,reflector,adapt,amc12a_2016_p2,0,True,,,False,0.00639792,41484,13336,418,149,0.0087984,3,0
learning__adapt__reflector__mathd_numbertheory_629__seed0,learning,reflector,adapt,mathd_numbertheory_629,0,True,,,False,0.0071876200000000005,44816,14051,628,353,0.0097168,3,0
learning__adapt__curator__amc12a_2017_p7__seed0,learning,curator,adapt,amc12a_2017_p7,0,True,,,False,0.01002762,59517,14901,672,167,0.0127098,4,0
learning__adapt__curator__imo_1977_p6__seed0,learning,curator,adapt,imo_1977_p6,0,True,,,False,0.0068541999999999995,29633,0,773,477,0.0068541999999999995,2,0
learning__adapt__curator__mathd_algebra_224__seed0,learning,curator,adapt,mathd_algebra_224,0,True,,,False,0.006912199999999999,31165,0,566,248,0.006912199999999999,2,0
learning__adapt__reducer__batch05__seed0,learning,reducer,adapt,batch05,0,True,,,False,0.00988618,54212,16019,1606,856,0.012769599999999999,5,0
learning__adapt__reflector__mathd_algebra_37__seed0,learning,reflector,adapt,mathd_algebra_37,0,True,,,False,0.0031382,26152,12990,205,82,0.005476399999999999,2,0
learning__adapt__reflector__amc12a_2017_p7__seed0,learning,reflector,adapt,amc12a_2017_p7,0,True,,,False,0.00704724,44286,13762,556,273,0.009524399999999999,3,0
learning__adapt__reflector__imo_1977_p6__seed0,learning,reflector,adapt,imo_1977_p6,0,True,,,False,0.007367039999999999,59115,28482,559,349,0.0124938,4,0
learning__adapt__reflector__mathd_algebra_224__seed0,learning,reflector,adapt,mathd_algebra_224,0,True,,,False,0.00877436,48715,14868,1423,1026,0.0114506,3,0
learning__adapt__curator__amc12_2000_p6__seed0,learning,curator,adapt,amc12_2000_p6,0,True,,,False,0.0071388400000000005,44546,14342,676,360,0.0097204,3,0
learning__adapt__curator__aime_1988_p3__seed0,learning,curator,adapt,aime_1988_p3,0,True,,,False,0.00733714,46151,14637,618,302,0.0099718,3,0
learning__adapt__curator__amc12a_2002_p13__seed0,learning,curator,adapt,amc12a_2002_p13,0,True,,,False,0.0069078,31131,0,568,337,0.0069078,2,0
learning__adapt__curator__amc12_2000_p1__seed0,learning,curator,adapt,amc12_2000_p1,0,True,,,False,0.00819792,50187,17106,1033,474,0.011276999999999999,3,0
learning__adapt__reducer__batch06__seed0,learning,reducer,adapt,batch06,0,True,,,False,0.010561719999999998,51458,9866,1705,819,0.012337599999999999,4,0
learning__adapt__reflector__amc12_2000_p6__seed0,learning,reflector,adapt,amc12_2000_p6,0,True,,,False,0.00695756,44029,13708,516,250,0.009425,3,0
learning__adapt__reflector__aime_1988_p3__seed0,learning,reflector,adapt,aime_1988_p3,0,True,,,False,0.00870614,53401,15047,612,273,0.0114146,3,0
learning__adapt__reflector__amc12a_2002_p13__seed0,learning,reflector,adapt,amc12a_2002_p13,0,True,,,False,0.00797622,62853,29871,652,377,0.013353,4,0
learning__adapt__reflector__amc12_2000_p1__seed0,learning,reflector,adapt,amc12_2000_p1,0,True,,,False,0.00746486,35605,7023,1340,755,0.008728999999999999,4,0
learning__adapt__curator__aime_1988_p8__seed0,learning,curator,adapt,aime_1988_p8,0,True,,,False,0.0063548,29746,0,338,107,0.0063548,2,0
learning__adapt__curator__mathd_algebra_323__seed0,learning,curator,adapt,mathd_algebra_323,0,True,,,False,0.0065233999999999995,30571,0,341,110,0.0065233999999999995,2,0
learning__adapt__curator__amc12a_2013_p7__seed0,learning,curator,adapt,amc12a_2013_p7,0,True,,,False,0.0063602,29455,0,391,116,0.0063602,2,0
learning__adapt__reducer__batch07__seed0,learning,reducer,adapt,batch07,0,True,,,False,0.00873644,41305,6012,1298,723,0.0098186,4,0
learning__adapt__reflector__aime_1988_p8__seed0,learning,reflector,adapt,aime_1988_p8,0,True,,,False,0.007689860000000001,61168,28943,555,307,0.0128996,4,0
learning__adapt__reflector__mathd_algebra_323__seed0,learning,reflector,adapt,mathd_algebra_323,0,True,,,False,0.00743714,44551,13737,833,563,0.0099098,3,0
learning__adapt__reflector__mathd_numbertheory_42__seed0,learning,reflector,adapt,mathd_numbertheory_42,0,True,,,False,0.0027912,13212,0,124,68,0.0027912,1,0
learning__adapt__reflector__amc12a_2013_p7__seed0,learning,reflector,adapt,amc12a_2013_p7,0,True,,,False,0.006580839999999999,41132,13242,615,336,0.008964399999999999,3,0
learning__adapt__curator__mathd_numbertheory_35__seed0,learning,curator,adapt,mathd_numbertheory_35,0,True,,,False,0.0062223999999999995,29222,0,315,123,0.0062223999999999995,2,0
learning__adapt__curator__imo_1983_p6__seed0,learning,curator,adapt,imo_1983_p6,0,True,,,False,0.0067843999999999995,31558,0,394,128,0.0067843999999999995,2,0
learning__adapt__curator__mathd_algebra_206__seed0,learning,curator,adapt,mathd_algebra_206,0,True,,,False,0.0069730799999999996,44826,15114,607,213,0.0096936,3,0
learning__adapt__reducer__batch08__seed0,learning,reducer,adapt,batch08,0,True,,,False,0.00879392,41674,5816,1255,638,0.0098408,4,0
learning__adapt__reflector__mathd_numbertheory_221__seed0,learning,reflector,adapt,mathd_numbertheory_221,0,True,,,False,0.002755,13043,0,122,65,0.002755,1,0
learning__adapt__reflector__mathd_numbertheory_35__seed0,learning,reflector,adapt,mathd_numbertheory_35,0,True,,,False,0.0059846199999999995,39989,13031,277,99,0.0083302,3,0
learning__adapt__reflector__imo_1983_p6__seed0,learning,reflector,adapt,imo_1983_p6,0,True,,,False,0.00869692,64349,30116,1040,709,0.0141178,4,0
learning__adapt__reflector__mathd_algebra_206__seed0,learning,reflector,adapt,mathd_algebra_206,0,True,,,False,0.00644958,41250,13309,496,212,0.0088452,3,0
learning__adapt__curator__amc12b_2002_p11__seed0,learning,curator,adapt,amc12b_2002_p11,0,True,,,False,0.01007196,59913,15008,659,290,0.012773399999999999,4,0
learning__adapt__curator__aime_1990_p4__seed0,learning,curator,adapt,aime_1990_p4,0,True,,,False,0.014751400000000001,65609,0,1358,239,0.0147514,4,0
learning__adapt__curator__mathd_algebra_28__seed0,learning,curator,adapt,mathd_algebra_28,0,True,,,False,0.0065601999999999995,29921,0,480,249,0.0065601999999999995,2,0
learning__adapt__curator__mathd_algebra_247__seed0,learning,curator,adapt,mathd_algebra_247,0,True,,,False,0.0093282,44445,0,366,76,0.0093282,3,0
learning__adapt__reducer__batch09__seed0,learning,reducer,adapt,batch09,0,True,,,False,0.0130225,60479,7025,1826,923,0.014287,5,0
learning__adapt__reflector__amc12b_2002_p11__seed0,learning,reflector,adapt,amc12b_2002_p11,0,True,,,False,0.00800302,46523,14491,1089,860,0.0106114,3,0
learning__adapt__reflector__aime_1990_p4__seed0,learning,reflector,adapt,aime_1990_p4,0,True,,,False,0.00800052,46767,14596,1062,550,0.0106278,3,0
learning__adapt__reflector__mathd_algebra_28__seed0,learning,reflector,adapt,mathd_algebra_28,0,True,,,False,0.0069806799999999995,43352,13594,631,378,0.0094276,3,0
learning__adapt__reflector__mathd_algebra_247__seed0,learning,reflector,adapt,mathd_algebra_247,0,True,,,False,0.00613328,40411,13134,346,105,0.008497399999999999,3,0
pilots__output__proof__mathd_algebra_185__seed0,pilots,proof,output,mathd_algebra_185,0,False,False,False,False,0.06411839999999999,496188,301740,15995,7719,0.1184316,27,0
pilots__concise__proof__mathd_algebra_185__seed0,pilots,proof,concise,mathd_algebra_185,0,False,False,False,False,0.0370466,290197,212160,14330,7233,0.0752354,24,0
pilots__output__proof__mathd_numbertheory_221__seed0,pilots,proof,output,mathd_numbertheory_221,0,True,True,True,False,0.0005728599999999999,6170,4873,180,140,0.00145,1,0
pilots__incumbent__proof__amc12a_2016_p2__seed0,pilots,proof,incumbent,amc12a_2016_p2,0,True,True,True,False,0.011933639999999999,91521,70412,5253,3609,0.0246078,10,0
pilots__views__proof__amc12a_2016_p2__seed0,pilots,proof,views,amc12a_2016_p2,0,True,True,True,False,0.00473446,44531,35223,1807,1023,0.011074599999999999,6,0
pilots__drop__proof__amc12_2000_p6__seed0,pilots,proof,drop,amc12_2000_p6,0,False,False,False,False,0.04097628,274329,198804,18246,11221,0.076761,24,1
pilots__views__proof__amc12a_2020_p13__seed0,pilots,proof,views,amc12a_2020_p13,0,False,False,False,False,0.039383480000000005,239038,146134,14900,6894,0.0656876,17,0
pilots__drop__proof__mathd_numbertheory_221__seed0,pilots,proof,drop,mathd_numbertheory_221,0,True,True,True,False,0.00033513999999999994,6170,6167,176,131,0.0014451999999999998,1,0
pilots__book__proof__mathd_algebra_185__seed0,pilots,proof,book,mathd_algebra_185,0,False,False,False,False,0.029934759999999998,212879,135788,9834,5411,0.0543766,16,0
pilots__book__proof__aime_1988_p3__seed0,pilots,proof,book,aime_1988_p3,0,False,False,False,False,0.036236979999999995,169541,79529,13870,4028,0.0505522,13,0
pilots__drop__proof__mathd_algebra_224__seed0,pilots,proof,drop,mathd_algebra_224,0,False,False,False,False,0.041615479999999996,282046,181314,14869,4815,0.074252,23,1
pilots__drop__proof__aime_1988_p3__seed0,pilots,proof,drop,aime_1988_p3,0,False,False,False,False,0.04443771999999999,266021,160356,16748,6551,0.0733018,20,1
pilots__views__proof__mathd_numbertheory_221__seed0,pilots,proof,views,mathd_numbertheory_221,0,True,True,True,False,0.00029073999999999994,6170,6167,139,79,0.0014007999999999998,1,0
pilots__drop__proof__amc12a_2020_p13__seed0,pilots,proof,drop,amc12a_2020_p13,0,False,False,False,False,0.04354016,249190,164868,19482,10527,0.0732164,21,1
pilots__output__proof__amc12a_2016_p2__seed0,pilots,proof,output,amc12a_2016_p2,0,True,True,True,False,0.019763499999999996,157769,113855,7253,5495,0.0402574,15,0
pilots__book__proof__amc12_2000_p6__seed0,pilots,proof,book,amc12_2000_p6,0,True,True,True,False,0.02537774,266770,218377,9443,6643,0.0646856,22,0
pilots__concise__proof__mathd_numbertheory_221__seed0,pilots,proof,concise,mathd_numbertheory_221,0,True,True,True,False,0.0013254,4593,0,339,270,0.0013254,1,0
pilots__output__proof__mathd_algebra_224__seed0,pilots,proof,output,mathd_algebra_224,0,False,False,False,False,0.06174072,409224,229276,17638,4420,0.10301039999999999,25,0
pilots__book__proof__mathd_numbertheory_221__seed0,pilots,proof,book,mathd_numbertheory_221,0,True,True,True,False,0.00054984,6339,5042,158,91,0.0014574,1,0
pilots__concise__proof__aime_1988_p3__seed0,pilots,proof,concise,aime_1988_p3,0,False,False,False,False,0.04225709999999999,184584,95345,18752,6320,0.0594192,13,0
pilots__incumbent__proof__amc12a_2020_p13__seed0,pilots,proof,incumbent,amc12a_2020_p13,0,False,False,False,False,0.03940114,230612,118747,12211,6510,0.0607756,15,0
pilots__views__proof__aime_1988_p3__seed0,pilots,proof,views,aime_1988_p3,0,False,False,False,False,0.04080818,205906,109559,16123,6394,0.060528799999999994,15,0
pilots__output__proof__aime_1988_p3__seed0,pilots,proof,output,aime_1988_p3,0,True,True,True,False,0.048840499999999995,251863,122585,17111,6667,0.07090579999999999,16,0
pilots__incumbent__proof__mathd_algebra_185__seed0,pilots,proof,incumbent,mathd_algebra_185,0,False,False,False,False,0.03621766,282245,168263,8380,4877,0.066505,19,0
pilots__drop__proof__mathd_numbertheory_48__seed0,pilots,proof,drop,mathd_numbertheory_48,0,True,True,True,False,0.00348964,26753,19492,1373,923,0.0069981999999999996,4,0
pilots__book__proof__amc12a_2016_p2__seed0,pilots,proof,book,amc12a_2016_p2,0,True,True,True,False,0.01605608,107230,56304,3954,2963,0.0261908,9,0
pilots__views__proof__mathd_numbertheory_48__seed0,pilots,proof,views,mathd_numbertheory_48,0,True,True,True,False,0.001447,12524,10990,767,606,0.0034251999999999998,2,0
pilots__incumbent__proof__amc12_2000_p6__seed0,pilots,proof,incumbent,amc12_2000_p6,0,True,True,True,False,0.013014779999999998,94947,76259,6460,4373,0.0267414,11,0
pilots__drop__proof__mathd_algebra_185__seed0,pilots,proof,drop,mathd_algebra_185,0,False,False,False,False,0.04232894,321805,229927,16129,9343,0.08371579999999999,27,1
pilots__incumbent__proof__mathd_numbertheory_48__seed0,pilots,proof,incumbent,mathd_numbertheory_48,0,True,True,True,False,0.0013647999999999998,12557,10990,693,543,0.0033429999999999996,2,0
pilots__views__proof__mathd_algebra_185__seed0,pilots,proof,views,mathd_algebra_185,0,False,False,False,False,0.04001356,327932,222838,12115,7382,0.0801244,25,0
pilots__incumbent__proof__mathd_algebra_224__seed0,pilots,proof,incumbent,mathd_algebra_224,0,False,False,False,False,0.037783180000000006,191090,104269,15278,5506,0.0565516,15,0
pilots__output__proof__mathd_numbertheory_48__seed0,pilots,proof,output,mathd_numbertheory_48,0,True,True,True,False,0.00982498,81623,61949,3876,2515,0.0209758,10,0
pilots__output__proof__amc12_2000_p6__seed0,pilots,proof,output,amc12_2000_p6,0,True,True,True,False,0.00424422,55701,51211,1935,1303,0.0134622,7,0
pilots__concise__proof__mathd_algebra_224__seed0,pilots,proof,concise,mathd_algebra_224,0,False,False,False,False,0.040855760000000005,285031,186958,14585,4864,0.0745082,22,0
pilots__views__proof__mathd_algebra_224__seed0,pilots,proof,views,mathd_algebra_224,0,False,False,False,False,0.03661528,328805,235674,11063,4208,0.0790366,23,0
pilots__concise__proof__amc12a_2020_p13__seed0,pilots,proof,concise,amc12a_2020_p13,0,False,False,False,False,0.04235736,245790,153128,17302,9515,0.0699204,18,0
pilots__incumbent__proof__mathd_numbertheory_221__seed0,pilots,proof,incumbent,mathd_numbertheory_221,0,True,True,True,False,0.00023073999999999998,6170,6167,89,30,0.0013407999999999998,1,0
pilots__book__proof__amc12a_2020_p13__seed0,pilots,proof,book,amc12a_2020_p13,0,False,False,False,False,0.037992399999999996,276059,183490,13174,6578,0.0710206,19,0
pilots__concise__proof__amc12a_2016_p2__seed0,pilots,proof,concise,amc12a_2016_p2,0,True,True,True,False,0.0031007400000000003,45954,42547,1307,575,0.0107592,8,0
pilots__incumbent__proof__aime_1988_p3__seed0,pilots,proof,incumbent,aime_1988_p3,0,False,False,False,False,0.03822199999999999,249559,155410,13570,3823,0.0661958,16,0
pilots__concise__proof__amc12_2000_p6__seed0,pilots,proof,concise,amc12_2000_p6,0,True,True,True,False,0.01341172,83123,60136,6343,4043,0.0242362,10,0
pilots__book__proof__mathd_algebra_224__seed0,pilots,proof,book,mathd_algebra_224,0,False,False,False,False,0.0395132,278452,182420,13882,6967,0.07234879999999999,20,0
pilots__views__proof__amc12_2000_p6__seed0,pilots,proof,views,amc12_2000_p6,0,True,True,True,False,0.01669548,89742,61774,8222,6310,0.0278148,10,0
pilots__output__proof__amc12a_2020_p13__seed0,pilots,proof,output,amc12a_2020_p13,0,False,False,False,False,0.06092023999999999,360217,183402,18241,7472,0.09393259999999999,19,0
pilots__book__proof__mathd_numbertheory_48__seed0,pilots,proof,book,mathd_numbertheory_48,0,True,True,True,False,0.00797118,53772,39729,3640,2754,0.0151224,7,0
pilots__drop__proof__amc12a_2016_p2__seed0,pilots,proof,drop,amc12a_2016_p2,0,False,False,False,False,0.02894502,191154,107481,8384,5957,0.0482916,18,1
pilots__concise__proof__mathd_numbertheory_48__seed0,pilots,proof,concise,mathd_numbertheory_48,0,True,True,True,False,0.00418256,16888,9888,2154,1804,0.0059624,3,0
learning__schema_control__schema__aime_1988_p3__seed0,learning,schema,schema_control,aime_1988_p3,0,True,,,False,0.0024592,11006,0,215,87,0.0024592,1,0
learning__schema_candidate__schema__aime_1988_p3__seed0,learning,schema,schema_candidate,aime_1988_p3,0,True,,,False,0.0027359999999999997,11292,0,398,291,0.0027359999999999997,1,0
learning__schema_control__schema__aime_1990_p4__seed0,learning,schema,schema_control,aime_1990_p4,0,True,,,False,0.0030943999999999998,13918,0,259,96,0.0030943999999999998,1,0
learning__schema_candidate__schema__aime_1990_p4__seed0,learning,schema,schema_candidate,aime_1990_p4,0,True,,,False,0.0031347999999999997,14204,0,245,120,0.0031347999999999997,1,0
learning__schema_control__schema__amc12_2000_p6__seed0,learning,schema,schema_control,amc12_2000_p6,0,True,,,False,0.0030302,10453,0,783,457,0.0030302,1,0
learning__schema_candidate__schema__amc12_2000_p6__seed0,learning,schema,schema_candidate,amc12_2000_p6,0,True,,,False,0.0029818,10739,0,695,176,0.0029818,1,0
learning__schema_control__schema__amc12b_2003_p17__seed0,learning,schema,schema_control,amc12b_2003_p17,0,True,,,False,0.0028192,10550,0,591,302,0.0028192,1,0
learning__schema_candidate__schema__amc12b_2003_p17__seed0,learning,schema,schema_candidate,amc12b_2003_p17,0,True,,,False,0.0032195999999999995,10836,0,877,330,0.0032195999999999995,1,0
learning__schema_control__schema__imo_1983_p6__seed0,learning,schema,schema_control,imo_1983_p6,0,True,,,False,0.0030635999999999997,11694,0,604,480,0.0030635999999999997,1,0
learning__schema_candidate__schema__imo_1983_p6__seed0,learning,schema,schema_candidate,imo_1983_p6,0,True,,,False,0.003194,11980,0,665,427,0.003194,1,0
learning__schema_control__schema__induction_pord1p1on2powklt5on2__seed0,learning,schema,schema_control,induction_pord1p1on2powklt5on2,0,True,,,False,0.0028738,10379,0,665,516,0.0028738,1,0
learning__schema_candidate__schema__induction_pord1p1on2powklt5on2__seed0,learning,schema,schema_candidate,induction_pord1p1on2powklt5on2,0,True,,,False,0.0027906,10665,0,548,420,0.0027906,1,0
learning__schema_control__schema__amc12a_2020_p13__seed0,learning,schema,schema_control,amc12a_2020_p13,0,True,,,False,0.0028237999999999996,11479,0,440,220,0.0028237999999999996,1,0
learning__schema_candidate__schema__amc12a_2020_p13__seed0,learning,schema,schema_candidate,amc12a_2020_p13,0,True,,,False,0.0027922,11765,0,366,151,0.0027922,1,0
learning__schema_control__schema__mathd_algebra_206__seed0,learning,schema,schema_control,mathd_algebra_206,0,True,,,False,0.0024544000000000002,10322,0,325,190,0.0024544000000000002,1,0
learning__schema_candidate__schema__mathd_algebra_206__seed0,learning,schema,schema_candidate,mathd_algebra_206,0,True,,,False,0.0026292,10608,0,423,217,0.0026292,1,0
learning__schema_control__schema__mathd_algebra_28__seed0,learning,schema,schema_control,mathd_algebra_28,0,True,,,False,0.002567,10189,0,441,305,0.002567,1,0
learning__schema_candidate__schema__mathd_algebra_28__seed0,learning,schema,schema_candidate,mathd_algebra_28,0,True,,,False,0.0025522,10475,0,381,116,0.0025522,1,0
learning__schema_control__schema__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,learning,schema,schema_control,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,,,False,0.0022574,9301,0,331,117,0.0022574,1,0
learning__schema_candidate__schema__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,learning,schema,schema_candidate,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,,,False,0.002203,9587,0,238,116,0.002203,1,0
learning__schema_control__schema__aime_1988_p8__seed0,learning,schema,schema_control,aime_1988_p8,0,True,,,False,0.0024798,9909,0,415,215,0.0024798,1,0
learning__schema_candidate__schema__aime_1988_p8__seed0,learning,schema,schema_candidate,aime_1988_p8,0,True,,,False,0.0024878,10195,0,374,166,0.0024878,1,0
learning__schema_control__schema__amc12a_2003_p1__seed0,learning,schema,schema_control,amc12a_2003_p1,0,True,,,False,0.0024285999999999995,10055,0,348,237,0.0024285999999999995,1,0
learning__schema_candidate__schema__amc12a_2003_p1__seed0,learning,schema,schema_candidate,amc12a_2003_p1,0,True,,,False,0.0023166000000000003,10341,0,207,100,0.0023166000000000003,1,0
learning__review_control__review__batch1_review0__seed0,learning,review,review_control,batch1_review0,0,True,,,False,0.0035009999999999998,16695,0,135,40,0.0035009999999999998,1,0
learning__review_candidate__review__batch1_review0__seed0,learning,review,review_candidate,batch1_review0,0,True,,,False,0.0035915999999999995,16884,0,179,96,0.0035915999999999995,1,0
learning__review_control__review__batch1_review1__seed0,learning,review,review_control,batch1_review1,0,True,,,False,0.0037597999999999998,17323,0,246,132,0.0037597999999999998,1,0
learning__review_candidate__review__batch1_review1__seed0,learning,review,review_candidate,batch1_review1,0,True,,,False,0.004105999999999999,17512,0,503,381,0.004105999999999999,1,0
learning__review_control__review__batch2_review0__seed0,learning,review,review_control,batch2_review0,0,True,,,False,0.0030778,13877,0,252,140,0.0030778,1,0
learning__review_candidate__review__batch2_review0__seed0,learning,review,review_candidate,batch2_review0,0,True,,,False,0.0031624,14066,0,291,168,0.0031624,1,0
learning__review_control__review__batch3_review0__seed0,learning,review,review_control,batch3_review0,0,True,,,False,0.0027088,9650,0,649,516,0.0027088,1,0
learning__review_candidate__review__batch3_review0__seed0,learning,review,review_candidate,batch3_review0,0,True,,,False,0.0024526,9839,0,404,296,0.0024526,1,0
learning__review_control__review__batch5_review0__seed0,learning,review,review_control,batch5_review0,0,True,,,False,0.0032936,15172,0,216,114,0.0032936,1,0
learning__review_candidate__review__batch5_review0__seed0,learning,review,review_candidate,batch5_review0,0,True,,,False,0.0034009999999999995,15361,0,274,183,0.0034009999999999995,1,0
learning__review_control__review__batch5_review1__seed0,learning,review,review_control,batch5_review1,0,True,,,False,0.0030754,13991,0,231,127,0.0030754,1,0
learning__review_candidate__review__batch5_review1__seed0,learning,review,review_candidate,batch5_review1,0,True,,,False,0.0031264,14180,0,242,134,0.0031264,1,0
learning__review_control__review__batch6_review0__seed0,learning,review,review_control,batch6_review0,0,True,,,False,0.0032359999999999997,14782,0,233,132,0.0032359999999999997,1,0
