cell,stage,arm,theorem,seed,cap,solved,qualified,failed,cost,input,cached,output
validation__agentic__mathd_numbertheory_64__seed0,validation,agentic,mathd_numbertheory_64,0,0.2,True,True,False,0.006208159999999999,50962,43948,3272
validation__agentic__mathd_algebra_421__seed0,validation,agentic,mathd_algebra_421,0,0.2,True,True,False,0.0025935,25269,20555,1033
validation__agentic__mathd_numbertheory_530__seed1,validation,agentic,mathd_numbertheory_530,1,0.2,False,False,False,0.12323262,927576,513961,25192
validation__agentic__aime_1991_p6__seed1,validation,agentic,aime_1991_p6,1,0.2,False,False,False,0.11292405999999999,574850,285453,41113
validation__agentic__amc12_2000_p12__seed1,validation,agentic,amc12_2000_p12,1,0.2,False,False,False,0.01801456,56873,33078,10495
validation__agentic__amc12a_2016_p3__seed0,validation,agentic,amc12a_2016_p3,0,0.2,True,True,False,0.013558940000000002,77485,28307,2631
validation__agentic__amc12a_2002_p6__seed0,validation,agentic,amc12a_2002_p6,0,0.2,True,True,False,0.00041154,3810,2607,99
validation__agentic__imo_1960_p2__seed0,validation,agentic,imo_1960_p2,0,0.2,True,True,False,0.09758393999999998,567402,226027,20657
validation__agentic__amc12b_2003_p6__seed1,validation,agentic,amc12b_2003_p6,1,0.2,True,True,False,0.0308069,215278,130575,9379
validation__agentic__aime_1989_p8__seed1,validation,agentic,aime_1989_p8,1,0.2,True,True,False,0.0001541,4378,4375,55
validation__agentic__mathd_algebra_214__seed0,validation,agentic,mathd_algebra_214,0,0.2,True,True,False,0.00028567999999999996,3877,3874,173
validation__agentic__amc12_2001_p21__seed1,validation,agentic,amc12_2001_p21,1,0.2,False,False,False,0.01247418,77649,51769,5219
validation__agentic__amc12a_2019_p21__seed0,validation,agentic,amc12a_2019_p21,0,0.2,False,False,False,0.12003046000000002,1206074,783873,16594
validation__agentic__aime_1991_p9__seed1,validation,agentic,aime_1991_p9,1,0.2,True,True,False,0.053145459999999985,321098,169263,16161
validation__agentic__imo_1964_p2__seed0,validation,agentic,imo_1964_p2,0,0.2,True,True,False,0.033984099999999996,172460,86575,12563
validation__agentic__mathd_numbertheory_284__seed1,validation,agentic,mathd_numbertheory_284,1,0.2,True,True,False,0.00038374,3785,2607,80
validation__agentic__amc12a_2016_p3__seed1,validation,agentic,amc12a_2016_p3,1,0.2,True,True,False,0.00862576,46910,22468,2740
validation__agentic__imo_1984_p6__seed0,validation,agentic,imo_1984_p6,0,0.2,False,False,False,0.12930618,790272,345099,27808
validation__agentic__mathd_numbertheory_33__seed1,validation,agentic,mathd_numbertheory_33,1,0.2,True,True,False,0.00637018,56576,47459,2998
validation__agentic__amc12b_2002_p3__seed1,validation,agentic,amc12b_2002_p3,1,0.2,True,True,False,0.0082537,69098,53755,3425
validation__agentic__amc12_2001_p21__seed0,validation,agentic,amc12_2001_p21,0,0.2,False,False,False,0.01654206,166611,136963,6561
validation__agentic__aime_1984_p7__seed1,validation,agentic,aime_1984_p7,1,0.2,True,True,False,0.031887439999999996,225436,189912,17487
validation__agentic__mathd_numbertheory_284__seed0,validation,agentic,mathd_numbertheory_284,0,0.2,True,True,False,0.00025024,3785,3782,145
validation__agentic__mathd_numbertheory_530__seed0,validation,agentic,mathd_numbertheory_530,0,0.2,False,False,False,0.12393024,842226,384472,20575
validation__agentic__amc12a_2002_p6__seed1,validation,agentic,amc12a_2002_p6,1,0.2,True,True,False,0.00020873999999999998,3810,3807,110
validation__agentic__amc12_2000_p12__seed0,validation,agentic,amc12_2000_p12,0,0.2,True,True,False,0.01028532,38961,28196,6307
validation__agentic__mathd_algebra_327__seed0,validation,agentic,mathd_algebra_327,0,0.2,True,True,False,0.00067106,7717,6373,229
validation__agentic__mathd_algebra_282__seed1,validation,agentic,mathd_algebra_282,1,0.2,False,False,False,0.04902048,1422021,1363494,8371
validation__agentic__mathd_algebra_282__seed0,validation,agentic,mathd_algebra_282,0,0.2,False,False,False,0.045279819999999985,1416755,1376071,8018
validation__agentic__imo_1960_p2__seed1,validation,agentic,imo_1960_p2,1,0.2,True,True,False,0.01306984,110582,75232,3746
validation__agentic__mathd_algebra_433__seed0,validation,agentic,mathd_algebra_433,0,0.2,True,True,False,0.0033251199999999996,25034,16636,1094
validation__agentic__imo_1969_p2__seed1,validation,agentic,imo_1969_p2,1,0.2,False,False,False,0.12842156,675379,247928,31644
validation__agentic__mathd_numbertheory_405__seed1,validation,agentic,mathd_numbertheory_405,1,0.2,True,True,False,0.03441148,157022,81374,14712
validation__agentic__mathd_numbertheory_43__seed1,validation,agentic,mathd_numbertheory_43,1,0.2,False,False,False,0.024090599999999997,239583,203960,10739
validation__agentic__amc12b_2003_p6__seed0,validation,agentic,amc12b_2003_p6,0,0.2,True,True,False,0.06316743999999999,420254,213512,14624
validation__agentic__aime_1991_p9__seed0,validation,agentic,aime_1991_p9,0,0.2,True,True,False,0.0490471,323315,189175,15363
validation__agentic__aime_1984_p7__seed0,validation,agentic,aime_1984_p7,0,0.2,False,False,False,0.12047752,652730,263936,31200
validation__agentic__amc12a_2008_p4__seed1,validation,agentic,amc12a_2008_p4,1,0.2,True,True,False,0.01487704,84641,40602,4381
validation__agentic__mathd_numbertheory_303__seed1,validation,agentic,mathd_numbertheory_303,1,0.2,False,False,False,0.12697648,781307,391214,34278
validation__agentic__amc12b_2020_p5__seed0,validation,agentic,amc12b_2020_p5,0,0.2,True,True,False,0.00023562,4014,4011,129
validation__agentic__mathd_numbertheory_461__seed0,validation,agentic,mathd_numbertheory_461,0,0.2,True,True,False,0.00029618,3802,3799,183
validation__agentic__amc12a_2013_p8__seed0,validation,agentic,amc12a_2013_p8,0,0.2,True,True,False,0.0075622599999999995,57854,49903,4145
validation__agentic__mathd_algebra_393__seed0,validation,agentic,mathd_algebra_393,0,0.2,True,True,False,0.012646039999999999,78421,50212,5000
validation__agentic__mathd_numbertheory_64__seed1,validation,agentic,mathd_numbertheory_64,1,0.2,True,True,False,0.008346399999999999,74042,56400,3075
validation__agentic__mathd_algebra_327__seed1,validation,agentic,mathd_algebra_327,1,0.2,True,True,False,0.00244014,27627,21767,694
validation__agentic__algebra_others_exirrpowirrrat__seed1,validation,agentic,algebra_others_exirrpowirrrat,1,0.2,False,False,False,0.12272195999999998,1126563,768788,29826
validation__agentic__amc12a_2008_p4__seed0,validation,agentic,amc12a_2008_p4,0,0.2,True,True,False,0.047124959999999994,254706,69688,7273
validation__agentic__mathd_numbertheory_43__seed0,validation,agentic,mathd_numbertheory_43,0,0.2,False,False,False,0.024947560000000004,252305,208828,10063
validation__agentic__aime_1991_p6__seed0,validation,agentic,aime_1991_p6,0,0.2,False,False,False,0.12130578000000002,497085,94309,32387
validation__agentic__mathd_algebra_393__seed1,validation,agentic,mathd_algebra_393,1,0.2,True,True,False,0.00591598,31598,20729,2773
validation__agentic__amc12a_2020_p21__seed1,validation,agentic,amc12a_2020_p21,1,0.2,False,False,False,0.05283634000000001,375011,267517,21656
validation__agentic__mathd_numbertheory_303__seed0,validation,agentic,mathd_numbertheory_303,0,0.2,False,False,False,0.08686897999999998,340246,197979,45380
validation__agentic__mathd_algebra_251__seed0,validation,agentic,mathd_algebra_251,0,0.2,True,True,False,0.0027671199999999996,23072,17876,1142
validation__agentic__mathd_numbertheory_37__seed0,validation,agentic,mathd_numbertheory_37,0,0.2,False,False,False,0.025146059999999998,179985,91123,4626
